icao;city_icao;country;country_code
SAWC;El Calafate (SAWC);Argentina;AR
SAWD;Puerto Deseado (SAWD);Argentina;AR
SAWE;Rio Grande (SAWE);Argentina;AR
SAWG;Rio Gallegos (SAWG);Argentina;AR
SAWH;Ushuahia (SAWH);Argentina;AR
SAWJ;San Julian (SAWJ);Argentina;AR
SAWL;Tolwin (Lago Fagnano)/observatorio MET(TAIS) (SAWL);Argentina;AR
SAWM;Rio Mayo (SAWM);Argentina;AR
SAWO;Ushuahia (SAWO);Argentina;AR
SAWP;Perito Moreno (SAWP);Argentina;AR
SAWR;Gobernador Gregores (SAWR);Argentina;AR
SAWS;Chubut (SAWS);Argentina;AR
SAWT;El Turbio (SAWT);Argentina;AR
SAWU;Santa Cruz (SAWU);Argentina;AR
SAZA;Azul (SAZA);Argentina;AR
SAZB;Bahia Blanca (SAZB);Argentina;AR
SAZC;Coronel Suarez (SAZC);Argentina;AR
SAZD;Dolores (SAZD);Argentina;AR
SAZE;Pigue (SAZE);Argentina;AR
SAZF;Olavarria (SAZF);Argentina;AR
SAZG;General Pico (SAZG);Argentina;AR
SAZH;Tres Arroyos (SAZH);Argentina;AR
SAZI;Bolivar (SAZI);Argentina;AR
SAZJ;Benito Juarez (SAZJ);Argentina;AR
SAZK;Cerro Catedral (SAZK);Argentina;AR
SAZL;Santa Teresita (SAZL);Argentina;AR
SAZM;Mar del Plata (SAZM);Argentina;AR
SAZN;Neuquen (SAZN);Argentina;AR
SAZO;Necochea (SAZO);Argentina;AR
SAZP;Pehuajo (SAZP);Argentina;AR
SAZQ;Rio Colorado (SAZQ);Argentina;AR
SAZR;Santa Rosa (SAZR);Argentina;AR
SAZS;San Carlos de Bariloche (SAZS);Argentina;AR
SAZT;Tandil (SAZT);Argentina;AR
SAZU;Puelches (SAZU);Argentina;AR
SAZV;Villa Gesell (SAZV);Argentina;AR
SAZW;Cutral-Co (SAZW);Argentina;AR
SAZX;Nueve de Julio (SAZX);Argentina;AR
SAZY;Chapelco/San Martin de los Andes (SAZY);Argentina;AR
UD21;Yerevan (UD21);Armenia;AM
UDLS;Stepanavan (UDLS);Armenia;AM
UDSG;Gyumri (UDSG);Armenia;AM
UDYE;Yerevan (UDYE);Armenia;AM
UDYZ;Yerevan (UDYZ);Armenia;AM
UGEJ;Dzhermuk (UGEJ);Armenia;AM
TNCA;Oranjestad (TNCA);Aruba;AW
DALH;Dalhousie (DALH);Australia;AU
LGRS;Logan Reserve (LGRS);Australia;AU
SWRK;South West Rocks (SWRK);Australia;AU
TCYT;Crystal Brook (TCYT);Australia;AU
YAAL;Yarralin (YAAL);Australia;AU
YABA;Albany (YABA);Australia;AU
YABI;Abingdon Downs (YABI);Australia;AU
YABS;Albion Downs (YABS);Australia;AU
YABU;Amburla (YABU);Australia;AU
YACI;Arcadia (YACI);Australia;AU
YACS;Acacia Downs (YACS);Australia;AU
YADD;Arubiddy (YADD);Australia;AU
YADG;Aldinga (YADG);Australia;AU
YADI;Adaminaby (YADI);Australia;AU
YADM;Yandan Mine (YADM);Australia;AU
YADO;Andado (YADO);Australia;AU
YADS;Alton Downs (YADS);Australia;AU
YADY;Adaminaby (YADY);Australia;AU
YAGD;Augustus Downs (YAGD);Australia;AU
YAHD;Ashburton Downs (YAHD);Australia;AU
YAKG;Arckaringa (YAKG);Australia;AU
YALA;Marla (YALA);Australia;AU
YALC;Alcoota Station (YALC);Australia;AU
YALG;Adels Grove (YALG);Australia;AU
YALH;Albilbah (YALH);Australia;AU
YALM;Allambie (YALM);Australia;AU
YALN;Allandy (YALN);Australia;AU
YALX;Alexandria Homestead (YALX);Australia;AU
YALY;Alderley (YALY);Australia;AU
YAMB;Raaf Base Amberley (YAMB);Australia;AU
YAMC;Aramac (YAMC);Australia;AU
YAMJ;Ampilatwatja (YAMJ);Australia;AU
YAMK;Andamooka (YAMK);Australia;AU
YAML;Armraynald (YAML);Australia;AU
YAMM;Ammaroo (YAMM);Australia;AU
YAMT;Amata (YAMT);Australia;AU
YAND;Answer Downs (YAND);Australia;AU
YANG;West Angelas (YANG);Australia;AU
YANJ;Angatja (YANJ);Australia;AU
YANK;Anna Creek (YANK);Australia;AU
YANL;Anthony Lagoon (YANL);Australia;AU
YANN;Anningie (YANN);Australia;AU
YANW;Annitowa (YANW);Australia;AU
YAOR;Ardmore (YAOR);Australia;AU
YAPA;Anna Plains (YAPA);Australia;AU
YAPH;Alpha (YAPH);Australia;AU
YAPO;Apollo Bay (YAPO);Australia;AU
YARA;Ararat (YARA);Australia;AU
YARD;Argadargada (YARD);Australia;AU
YARG;Argyle (YARG);Australia;AU
YARI;Arizona 1 (YARI);Australia;AU
YARK;Arkaroola (YARK);Australia;AU
YARL;Ardlethan (YARL);Australia;AU
YARM;Armidale (YARM);Australia;AU
YARN;Areyonga (YARN);Australia;AU
YARP;Arapunya (YARP);Australia;AU
YARS;Ardrossan (YARS);Australia;AU
YARY;Arrabury (YARY);Australia;AU
YASF;Ashford (YASF);Australia;AU
YASS;Bakblok (YASS);Australia;AU
YATL;Atula (YATL);Australia;AU
YATN;Atherton (YATN);Australia;AU
YATR;Amphitheatre (YATR);Australia;AU
YATY;Atley (YATY);Australia;AU
YAUA;Augathella (YAUA);Australia;AU
YAUG;Augusta (YAUG);Australia;AU
YAUR;Aurukun (YAUR);Australia;AU
YAUS;Austral Downs (YAUS);Australia;AU
YAUV;Auvergne (YAUV);Australia;AU
YAVD;Avon Downs (YAVD);Australia;AU
YAVM;Avonmore (YAVM);Australia;AU
YAWT;Agnes Water (YAWT);Australia;AU
YAYE;Ayers Rock (YAYE);Australia;AU
YAYR;Ayr (YAYR);Australia;AU
YBAB;Baralaba (YBAB);Australia;AU
YBAD;Baradine (YBAD);Australia;AU
YBAF;Brisbane (YBAF);Australia;AU
YBAH;Bauhinia Downs (YBAH);Australia;AU
YBAL;Balladonia (YBAL);Australia;AU
YBAM;Bamaga Injinoo (YBAM);Australia;AU
YBAN;Mount Barnet (YBAN);Australia;AU
YBAO;Braidwood (YBAO);Australia;AU
YBAR;Barcaldine (YBAR);Australia;AU
YBAS;Alice Springs (YBAS);Australia;AU
YBAU;Badu Island (YBAU);Australia;AU
YBAW;Barkly Downs (YBAW);Australia;AU
YBBA;Barraba (YBBA);Australia;AU
YBBC;Bamboo Creek Gold Mine (YBBC);Australia;AU
YBBE;Big Bell (YBBE);Australia;AU
YBBL;Billabalong (YBBL);Australia;AU
YBBN;Brisbane (YBBN);Australia;AU
YBBO;Bon Bon (YBBO);Australia;AU
YBBT;Boort (YBBT);Australia;AU
YBCB;Bencubbin (YBCB);Australia;AU
YBCG;Gold Coast (YBCG);Australia;AU
YBCH;Beechworth (YBCH);Australia;AU
YBCK;Blackall (YBCK);Australia;AU
YBCL;Boolcarrol Station (YBCL);Australia;AU
YBCM;Coominya (YBCM);Australia;AU
YBCR;Batchelor (YBCR);Australia;AU
YBCS;Cairns (YBCS);Australia;AU
YBCV;Charleville (YBCV);Australia;AU
YBDF;Bedford Downs (YBDF);Australia;AU
YBDG;Bendigo (YBDG);Australia;AU
YBDP;Bridport (YBDP);Australia;AU
YBDS;Birthday Siding (YBDS);Australia;AU
YBDU;Birrindudu (YBDU);Australia;AU
YBDV;Birdsville (YBDV);Australia;AU
YBDX;Barradale (YBDX);Australia;AU
